set_id	syn_set	first_syn	query_long	query_short	query_short_translated	query_long_translated	class_id
n02102318	cocker spaniel, English cocker spaniel, cocker	cocker spaniel	a photo of a cocker spaniel	a cocker spaniel	un cocker spaniel	una foto di un cocker spaniel	220
n02102480	Sussex spaniel	Sussex spaniel	a photo of a Sussex spaniel	a Sussex spaniel	uno spaniel del Sussex	una foto di uno spaniel del Sussex	221
n02102973	Irish water spaniel	Irish water spaniel	a photo of a Irish water spaniel	a Irish water spaniel	uno spaniel d'acqua irlandese	una foto di uno spaniel d'acqua irlandese	222
n02104029	kuvasz	kuvasz	a photo of a kuvasz	a kuvasz	un kuvasz	una foto di un kuvasz	223
n02104365	schipperke	schipperke	a photo of a schipperke	a schipperke	uno schipperke	una foto di uno schipperke	224
n02105056	groenendael	groenendael	a photo of a groenendael	a groenendael	una groenendael	una foto di una groenendael	225
n02105162	malinois	malinois	a photo of a malinois	a malinois	un malinois	una foto di un malinois	226
n02105251	briard	briard	a photo of a briard	a briard	una briarda	una foto di una briarda	227
n02105412	kelpie	kelpie	a photo of a kelpie	a kelpie	un kelpie	una foto di un kelpie	228
n02105505	komondor	komondor	a photo of a komondor	a komondor	un komondor	una foto di un komondor	229
n02105641	Old English sheepdog, bobtail	Old English sheepdog	a photo of a Old English sheepdog	a Old English sheepdog	un vecchio cane da pastore inglese	una foto di un vecchio cane da pastore inglese	230
n02105855	Shetland sheepdog, Shetland sheep dog, Shetland	Shetland sheepdog	a photo of a Shetland sheepdog	a Shetland sheepdog	un cane da pastore Shetland	una foto di un cane da pastore Shetland	231
n02106030	collie	collie	a photo of a collie	a collie	un collie	una foto di un collie	232
n02106166	Border collie	Border collie	a photo of a Border collie	a Border collie	un Border collie	una foto di un Border collie	233
n02106382	Bouvier des Flandres, Bouviers des Flandres	Bouvier des Flandres	a photo of a Bouvier des Flandres	a Bouvier des Flandres	un Bouvier des Flandres	una foto di un Bouvier des Flandres	234
n02106550	Rottweiler	Rottweiler	a photo of a Rottweiler	a Rottweiler	un Rottweiler	una foto di un Rottweiler	235
n02106662	German shepherd, German shepherd dog, German police dog, alsatian	German shepherd	a photo of a German shepherd	a German shepherd	un pastore tedesco	una foto di un pastore tedesco	236
n02107142	Doberman, Doberman pinscher	Doberman	a photo of a Doberman	a Doberman	un dobermann	una foto di un dobermann	237
n02107312	miniature pinscher	miniature pinscher	a photo of a miniature pinscher	a miniature pinscher	un pinscher in miniatura	una foto di un pinscher in miniatura	238
n02107574	Greater Swiss Mountain dog	Greater Swiss Mountain dog	a photo of a Greater Swiss Mountain dog	a Greater Swiss Mountain dog	un cane da montagna svizzero maggiore	una foto di un cane da montagna svizzero maggiore	239
n02107683	Bernese mountain dog	Bernese mountain dog	a photo of a Bernese mountain dog	a Bernese mountain dog	un cane di montagna bernese	una foto di un cane di montagna bernese	240
n02107908	Appenzeller	Appenzeller	a photo of a Appenzeller	a Appenzeller	un Appenzeller	una foto di un Appenzeller	241
n02108000	EntleBucher	EntleBucher	a photo of a EntleBucher	a EntleBucher	a EntleBucher	una foto di a EntleBucher	242
n02108089	boxer	boxer	a photo of a boxer	a boxer	un pugile	una foto di un pugile	243
n02108422	bull mastiff	bull mastiff	a photo of a bull mastiff	a bull mastiff	un mastino toro	una foto di un mastino toro	244
n02108551	Tibetan mastiff	Tibetan mastiff	a photo of a Tibetan mastiff	a Tibetan mastiff	un mastino tibetano	una foto di un mastino tibetano	245
n02108915	French bulldog	French bulldog	a photo of a French bulldog	a French bulldog	un bulldog francese	una foto di un bulldog francese	246
n02109047	Great Dane	Great Dane	a photo of a Great Dane	a Great Dane	un alano	una foto di un alano	247
n02109525	Saint Bernard, St Bernard	Saint Bernard	a photo of a Saint Bernard	a Saint Bernard	un San Bernardo	una foto di un San Bernardo	248
n02109961	Eskimo dog, husky	Eskimo dog	a photo of a Eskimo dog	a Eskimo dog	un cane eschimese	una foto di un cane eschimese	249
n02110063	malamute, malemute, Alaskan malamute	malamute	a photo of a malamute	a malamute	un malamute	una foto di un malamute	250
n02110185	Siberian husky	Siberian husky	a photo of a Siberian husky	a Siberian husky	un Siberian husky	una foto di un Siberian husky	251
n02110341	dalmatian, coach dog, carriage dog	dalmatian	a photo of a dalmatian	a dalmatian	un dalmata	una foto di un dalmata	252
n02110627	affenpinscher, monkey pinscher, monkey dog	affenpinscher	a photo of a affenpinscher	a affenpinscher	un affenpinscher	una foto di un affenpinscher	253
n02110806	basenji	basenji	a photo of a basenji	a basenji	un basenji	una foto di un basenji	254
n02110958	pug, pug-dog	pug	a photo of a pug	a pug	un carlino	una foto di un carlino	255
n02111129	Leonberg	Leonberg	a photo of a Leonberg	a Leonberg	a Leonberg	una foto di a Leonberg	256
n02111277	Newfoundland, Newfoundland dog	Newfoundland	a photo of a Newfoundland	a Newfoundland	un Terranova	una foto di un Terranova	257
n02111500	Great Pyrenees	Great Pyrenees	a photo of a Great Pyrenees	a Great Pyrenees	un Grande Pireneo	una foto di un Grande Pireneo	258
n02111889	Samoyed, Samoyede	Samoyed	a photo of a Samoyed	a Samoyed	un samoiedo	una foto di un samoiedo	259
n02112018	Pomeranian	Pomeranian	a photo of a Pomeranian	a Pomeranian	un Pomerania	una foto di un Pomerania	260
n02112137	chow, chow chow	chow	a photo of a chow	a chow	un chow	una foto di un chow	261
n02112350	keeshond	keeshond	a photo of a keeshond	a keeshond	un keeshond	una foto di un keeshond	262
n02112706	Brabancon griffon	Brabancon griffon	a photo of a Brabancon griffon	a Brabancon griffon	un grifone di Brabancon	una foto di un grifone di Brabancon	263
n02113023	Pembroke, Pembroke Welsh corgi	Pembroke	a photo of a Pembroke	a Pembroke	un Pembroke	una foto di un Pembroke	264
n02113186	Cardigan, Cardigan Welsh corgi	Cardigan	a photo of a Cardigan	a Cardigan	un cardigan	una foto di un cardigan	265
n02113624	toy poodle	toy poodle	a photo of a toy poodle	a toy poodle	un barboncino giocattolo	una foto di un barboncino giocattolo	266
n02113712	miniature poodle	miniature poodle	a photo of a miniature poodle	a miniature poodle	un barboncino in miniatura	una foto di un barboncino in miniatura	267
n02113799	standard poodle	standard poodle	a photo of a standard poodle	a standard poodle	un barboncino standard	una foto di un barboncino standard	268
n02113978	Mexican hairless	Mexican hairless	a photo of a Mexican hairless	a Mexican hairless	un messicano senza capelli	una foto di un messicano senza capelli	269
n02114367	timber wolf, grey wolf, gray wolf, Canis lupus	timber wolf	a photo of a timber wolf	a timber wolf	un lupo di legno	una foto di un lupo di legno	270
n02114548	white wolf, Arctic wolf, Canis lupus tundrarum	white wolf	a photo of a white wolf	a white wolf	un lupo bianco	una foto di un lupo bianco	271
n02114712	red wolf, maned wolf, Canis rufus, Canis niger	red wolf	a photo of a red wolf	a red wolf	un lupo rosso	una foto di un lupo rosso	272
n02114855	coyote, prairie wolf, brush wolf, Canis latrans	coyote	a photo of a coyote	a coyote	un coyote	una foto di un coyote	273
n02115641	dingo, warrigal, warragal, Canis dingo	dingo	a photo of a dingo	a dingo	un dingo	una foto di un dingo	274
n02115913	dhole, Cuon alpinus	dhole	a photo of a dhole	a dhole	un dhole	una foto di un dhole	275
n02116738	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus	African hunting dog	a photo of a African hunting dog	a African hunting dog	un cane da caccia africano	una foto di un cane da caccia africano	276
n02117135	hyena, hyaena	hyena	a photo of a hyena	a hyena	una iena	una foto di una iena	277
n02119022	red fox, Vulpes vulpes	red fox	a photo of a red fox	a red fox	una volpe rossa	una foto di una volpe rossa	278
n02119789	kit fox, Vulpes macrotis	kit fox	a photo of a kit fox	a kit fox	una volpe di kit	una foto di una volpe di kit	279
n02120079	Arctic fox, white fox, Alopex lagopus	Arctic fox	a photo of a Arctic fox	a Arctic fox	una volpe artica	una foto di una volpe artica	280
n02120505	grey fox, gray fox, Urocyon cinereoargenteus	grey fox	a photo of a grey fox	a grey fox	una volpe grigia	una foto di una volpe grigia	281
n02123045	tabby, tabby cat	tabby	a photo of a tabby	a tabby	un soriano	una foto di un soriano	282
n02123159	tiger cat	tiger cat	a photo of a tiger cat	a tiger cat	un gatto tigrato	una foto di un gatto tigrato	283
n02123394	Persian cat	Persian cat	a photo of a Persian cat	a Persian cat	un gatto persiano	una foto di un gatto persiano	284
n02123597	Siamese cat, Siamese	Siamese cat	a photo of a Siamese cat	a Siamese cat	un gatto siamese	una foto di un gatto siamese	285
n02124075	Egyptian cat	Egyptian cat	a photo of a Egyptian cat	a Egyptian cat	un gatto egiziano	una foto di un gatto egiziano	286
n02125311	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor	cougar	a photo of a cougar	a cougar	un puma	una foto di un puma	287
n02127052	lynx, catamount	lynx	a photo of a lynx	a lynx	una lince	una foto di una lince	288
n02128385	leopard, Panthera pardus	leopard	a photo of a leopard	a leopard	un leopardo	una foto di un leopardo	289
n02128757	snow leopard, ounce, Panthera uncia	snow leopard	a photo of a snow leopard	a snow leopard	un leopardo delle nevi	una foto di un leopardo delle nevi	290
n02128925	jaguar, panther, Panthera onca, Felis onca	jaguar	a photo of a jaguar	a jaguar	un giaguaro	una foto di un giaguaro	291
n02129165	lion, king of beasts, Panthera leo	lion	a photo of a lion	a lion	un leone	una foto di un leone	292
n02129604	tiger, Panthera tigris	tiger	a photo of a tiger	a tiger	una tigre	una foto di una tigre	293
n02130308	cheetah, chetah, Acinonyx jubatus	cheetah	a photo of a cheetah	a cheetah	un ghepardo	una foto di un ghepardo	294
n02132136	brown bear, bruin, Ursus arctos	brown bear	a photo of a brown bear	a brown bear	un orso bruno	una foto di un orso bruno	295
n02133161	American black bear, black bear, Ursus americanus, Euarctos americanus	American black bear	a photo of a American black bear	a American black bear	un orso nero americano	una foto di un orso nero americano	296
n02134084	ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus	ice bear	a photo of a ice bear	a ice bear	un orso di ghiaccio	una foto di un orso di ghiaccio	297
n02134418	sloth bear, Melursus ursinus, Ursus ursinus	sloth bear	a photo of a sloth bear	a sloth bear	un orso bradipo	una foto di un orso bradipo	298
n02137549	mongoose	mongoose	a photo of a mongoose	a mongoose	una mangusta	una foto di una mangusta	299
n02138441	meerkat, mierkat	meerkat	a photo of a meerkat	a meerkat	un suricato	una foto di un suricato	300
n02165105	tiger beetle	tiger beetle	a photo of a tiger beetle	a tiger beetle	uno scarabeo tigre	una foto di uno scarabeo tigre	301
n02165456	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle	ladybug	a photo of a ladybug	a ladybug	una coccinella	una foto di una coccinella	302
n02167151	ground beetle, carabid beetle	ground beetle	a photo of a ground beetle	a ground beetle	uno scarabeo di terra	una foto di uno scarabeo di terra	303
n02168699	long-horned beetle, longicorn, longicorn beetle	long-horned beetle	a photo of a long-horned beetle	a long-horned beetle	uno scarabeo dalle lunghe corna	una foto di uno scarabeo dalle lunghe corna	304
n02169497	leaf beetle, chrysomelid	leaf beetle	a photo of a leaf beetle	a leaf beetle	uno scarabeo delle foglie	una foto di uno scarabeo delle foglie	305
n02172182	dung beetle	dung beetle	a photo of a dung beetle	a dung beetle	uno scarabeo stercorario	una foto di uno scarabeo stercorario	306
n02174001	rhinoceros beetle	rhinoceros beetle	a photo of a rhinoceros beetle	a rhinoceros beetle	uno scarabeo rinoceronte	una foto di uno scarabeo rinoceronte	307
n02177972	weevil	weevil	a photo of a weevil	a weevil	un tonchio	una foto di un tonchio	308
n02190166	fly	fly	a photo of a fly	a fly	una mosca	una foto di una mosca	309
n02206856	bee	bee	a photo of a bee	a bee	un'ape	una foto di un'ape	310
n02219486	ant, emmet, pismire	ant	a photo of a ant	a ant	una formica	una foto di una formica	311
n02226429	grasshopper, hopper	grasshopper	a photo of a grasshopper	a grasshopper	una cavalletta	una foto di una cavalletta	312
n02229544	cricket	cricket	a photo of a cricket	a cricket	un grillo	una foto di un grillo	313
n02231487	walking stick, walkingstick, stick insect	walking stick	a photo of a walking stick	a walking stick	un bastone da passeggio	una foto di un bastone da passeggio	314
n02233338	cockroach, roach	cockroach	a photo of a cockroach	a cockroach	uno scarafaggio	una foto di uno scarafaggio	315
n02236044	mantis, mantid	mantis	a photo of a mantis	a mantis	una mantide	una foto di una mantide	316
n02256656	cicada, cicala	cicada	a photo of a cicada	a cicada	una cicala	una foto di una cicala	317
n02259212	leafhopper	leafhopper	a photo of a leafhopper	a leafhopper	una cavalletta	una foto di una cavalletta	318
n02264363	lacewing, lacewing fly	lacewing	a photo of a lacewing	a lacewing	un pizzo	una foto di un pizzo	319
n02268443	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk	dragonfly	a photo of a dragonfly	a dragonfly	una libellula	una foto di una libellula	320
n02268853	damselfly	damselfly	a photo of a damselfly	a damselfly	una damigella	una foto di una damigella	321
n02276258	admiral	admiral	a photo of a admiral	a admiral	un ammiraglio	una foto di un ammiraglio	322
n02277742	ringlet, ringlet butterfly	ringlet	a photo of a ringlet	a ringlet	un ricciolo	una foto di un ricciolo	323
n02279972	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus	monarch	a photo of a monarch	a monarch	un monarca	una foto di un monarca	324
n02280649	cabbage butterfly	cabbage butterfly	a photo of a cabbage butterfly	a cabbage butterfly	una farfalla cavolo	una foto di una farfalla cavolo	325
n02281406	sulphur butterfly, sulfur butterfly	sulphur butterfly	a photo of a sulphur butterfly	a sulphur butterfly	una farfalla sulfurea	una foto di una farfalla sulfurea	326
n02281787	lycaenid, lycaenid butterfly	lycaenid	a photo of a lycaenid	a lycaenid	un licaenide	una foto di un licaenide	327
n02317335	starfish, sea star	starfish	a photo of a starfish	a starfish	una stella marina	una foto di una stella marina	328
n02319095	sea urchin	sea urchin	a photo of a sea urchin	a sea urchin	un riccio di mare	una foto di un riccio di mare	329
n02321529	sea cucumber, holothurian	sea cucumber	a photo of a sea cucumber	a sea cucumber	un cetriolo di mare	una foto di un cetriolo di mare	330
n02325366	wood rabbit, cottontail, cottontail rabbit	wood rabbit	a photo of a wood rabbit	a wood rabbit	un coniglio di legno	una foto di un coniglio di legno	331
n02326432	hare	hare	a photo of a hare	a hare	una lepre	una foto di una lepre	332
n02328150	Angora, Angora rabbit	Angora	a photo of a Angora	a Angora	un angora	una foto di un angora	333
n02342885	hamster	hamster	a photo of a hamster	a hamster	un criceto	una foto di un criceto	334
n02346627	porcupine, hedgehog	porcupine	a photo of a porcupine	a porcupine	un porcospino	una foto di un porcospino	335
n02356798	fox squirrel, eastern fox squirrel, Sciurus niger	fox squirrel	a photo of a fox squirrel	a fox squirrel	uno scoiattolo volpe	una foto di uno scoiattolo volpe	336
n02361337	marmot	marmot	a photo of a marmot	a marmot	una marmotta	una foto di una marmotta	337
n02363005	beaver	beaver	a photo of a beaver	a beaver	un castoro	una foto di un castoro	338
n02364673	guinea pig, Cavia cobaya	guinea pig	a photo of a guinea pig	a guinea pig	un porcellino d'India	una foto di un porcellino d'India	339
n02389026	sorrel	sorrel	a photo of a sorrel	a sorrel	un'acetosa	una foto di un'acetosa	340
n02391049	zebra	zebra	a photo of a zebra	a zebra	una zebra	una foto di una zebra	341
n02395406	hog, pig, grunter, squealer, Sus scrofa	hog	a photo of a hog	a hog	un maiale	una foto di un maiale	342
n02396427	wild boar, boar, Sus scrofa	wild boar	a photo of a wild boar	a wild boar	un cinghiale	una foto di un cinghiale	343
n02397096	warthog	warthog	a photo of a warthog	a warthog	un facocero	una foto di un facocero	344
n02398521	hippopotamus, hippo, river horse, Hippopotamus amphibius	hippopotamus	a photo of a hippopotamus	a hippopotamus	un ippopotamo	una foto di un ippopotamo	345
n02403003	ox	ox	a photo of a ox	a ox	un bue	una foto di un bue	346
n02408429	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis	water buffalo	a photo of a water buffalo	a water buffalo	un bufalo d'acqua	una foto di un bufalo d'acqua	347
n02410509	bison	bison	a photo of a bison	a bison	un bisonte	una foto di un bisonte	348
n02412080	ram, tup	ram	a photo of a ram	a ram	ariete	una foto di ariete	349
n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis	bighorn	a photo of a bighorn	a bighorn	un bighorn	una foto di un bighorn	350
n02417914	ibex, Capra ibex	ibex	a photo of a ibex	a ibex	uno stambecco	una foto di uno stambecco	351
n02422106	hartebeest	hartebeest	a photo of a hartebeest	a hartebeest	un alcefalo	una foto di un alcefalo	352
n02422699	impala, Aepyceros melampus	impala	a photo of a impala	a impala	un impala	una foto di un impala	353
n02423022	gazelle	gazelle	a photo of a gazelle	a gazelle	una gazzella	una foto di una gazzella	354
n02437312	Arabian camel, dromedary, Camelus dromedarius	Arabian camel	a photo of a Arabian camel	a Arabian camel	un cammello arabo	una foto di un cammello arabo	355
n02437616	llama	llama	a photo of a llama	a llama	un lama	una foto di un lama	356
n02441942	weasel	weasel	a photo of a weasel	a weasel	una donnola	una foto di una donnola	357
n02442845	mink	mink	a photo of a mink	a mink	un visone	una foto di un visone	358
n02443114	polecat, fitch, foulmart, foumart, Mustela putorius	polecat	a photo of a polecat	a polecat	una puzzola	una foto di una puzzola	359
n02443484	black-footed ferret, ferret, Mustela nigripes	black-footed ferret	a photo of a black-footed ferret	a black-footed ferret	un furetto dai piedi neri	una foto di un furetto dai piedi neri	360
n02444819	otter	otter	a photo of a otter	a otter	una lontra	una foto di una lontra	361
n02445715	skunk, polecat, wood pussy	skunk	a photo of a skunk	a skunk	una puzzola	una foto di una puzzola	362
n02447366	badger	badger	a photo of a badger	a badger	un tasso	una foto di un tasso	363
n02454379	armadillo	armadillo	a photo of a armadillo	a armadillo	un armadillo	una foto di un armadillo	364
n02457408	three-toed sloth, ai, Bradypus tridactylus	three-toed sloth	a photo of a three-toed sloth	a three-toed sloth	un bradipo a tre dita	una foto di un bradipo a tre dita	365
n02480495	orangutan, orang, orangutang, Pongo pygmaeus	orangutan	a photo of a orangutan	a orangutan	un orango	una foto di un orango	366
n02480855	gorilla, Gorilla gorilla	gorilla	a photo of a gorilla	a gorilla	un gorilla	una foto di un gorilla	367
n02481823	chimpanzee, chimp, Pan troglodytes	chimpanzee	a photo of a chimpanzee	a chimpanzee	uno scimpanzé	una foto di uno scimpanzé	368
n02483362	gibbon, Hylobates lar	gibbon	a photo of a gibbon	a gibbon	un gibbone	una foto di un gibbone	369
n02483708	siamang, Hylobates syndactylus, Symphalangus syndactylus	siamang	a photo of a siamang	a siamang	un siamang	una foto di un siamang	370
n02484975	guenon, guenon monkey	guenon	a photo of a guenon	a guenon	un cercopiteco	una foto di un cercopiteco	371
n02486261	patas, hussar monkey, Erythrocebus patas	patas	a photo of a patas	a patas	un patas	una foto di un patas	372
n02486410	baboon	baboon	a photo of a baboon	a baboon	un babbuino	una foto di un babbuino	373
n02487347	macaque	macaque	a photo of a macaque	a macaque	un macaco	una foto di un macaco	374
n02488291	langur	langur	a photo of a langur	a langur	un langur	una foto di un langur	375
n02488702	colobus, colobus monkey	colobus	a photo of a colobus	a colobus	un colobo	una foto di un colobo	376
n02489166	proboscis monkey, Nasalis larvatus	proboscis monkey	a photo of a proboscis monkey	a proboscis monkey	una scimmia proboscide	una foto di una scimmia proboscide	377
n02490219	marmoset	marmoset	a photo of a marmoset	a marmoset	uno uistitì	una foto di uno uistitì	378
n02492035	capuchin, ringtail, Cebus capucinus	capuchin	a photo of a capuchin	a capuchin	un cappuccino	una foto di un cappuccino	379
n02492660	howler monkey, howler	howler monkey	a photo of a howler monkey	a howler monkey	una scimmia urlatrice	una foto di una scimmia urlatrice	380
n02493509	titi, titi monkey	titi	a photo of a titi	a titi	un titi	una foto di un titi	381
n02493793	spider monkey, Ateles geoffroyi	spider monkey	a photo of a spider monkey	a spider monkey	una scimmia ragno	una foto di una scimmia ragno	382
n02494079	squirrel monkey, Saimiri sciureus	squirrel monkey	a photo of a squirrel monkey	a squirrel monkey	una scimmia scoiattolo	una foto di una scimmia scoiattolo	383
n02497673	Madagascar cat, ring-tailed lemur, Lemur catta	Madagascar cat	a photo of a Madagascar cat	a Madagascar cat	un gatto del Madagascar	una foto di un gatto del Madagascar	384
n02500267	indri, indris, Indri indri, Indri brevicaudatus	indri	a photo of a indri	a indri	un indri	una foto di un indri	385
n02504013	Indian elephant, Elephas maximus	Indian elephant	a photo of a Indian elephant	a Indian elephant	un elefante indiano	una foto di un elefante indiano	386
n02504458	African elephant, Loxodonta africana	African elephant	a photo of a African elephant	a African elephant	un elefante africano	una foto di un elefante africano	387
n02509815	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens	lesser panda	a photo of a lesser panda	a lesser panda	un panda minore	una foto di un panda minore	388
n02510455	giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca	giant panda	a photo of a giant panda	a giant panda	un panda gigante	una foto di un panda gigante	389
n02514041	barracouta, snoek	barracouta	a photo of a barracouta	a barracouta	un barracuda	una foto di un barracuda	390
n02526121	eel	eel	a photo of a eel	a eel	un'anguilla	una foto di un'anguilla	391
n02536864	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch	coho	a photo of a coho	a coho	un coho	una foto di un coho	392
n02606052	rock beauty, Holocanthus tricolor	rock beauty	a photo of a rock beauty	a rock beauty	una bellezza di roccia	una foto di una bellezza di roccia	393
n02607072	anemone fish	anemone fish	a photo of a anemone fish	a anemone fish	un pesce anemone	una foto di un pesce anemone	394
n02640242	sturgeon	sturgeon	a photo of a sturgeon	a sturgeon	uno storione	una foto di uno storione	395
n02641379	gar, garfish, garpike, billfish, Lepisosteus osseus	gar	a photo of a gar	a gar	un capo d'abbigliamento	una foto di un capo d'abbigliamento	396
n02643566	lionfish	lionfish	a photo of a lionfish	a lionfish	un pesce leone	una foto di un pesce leone	397
n02655020	puffer, pufferfish, blowfish, globefish	puffer	a photo of a puffer	a puffer	un puffer	una foto di un puffer	398
n02666196	abacus	abacus	a photo of a abacus	a abacus	un abaco	una foto di un abaco	399
n02667093	abaya	abaya	a photo of a abaya	a abaya	un abaya	una foto di un abaya	400
n02669723	academic gown, academic robe, judge's robe	academic gown	a photo of a academic gown	a academic gown	un abito accademico	una foto di un abito accademico	401
n02672831	accordion, piano accordion, squeeze box	accordion	a photo of a accordion	a accordion	una fisarmonica	una foto di una fisarmonica	402
n02676566	acoustic guitar	acoustic guitar	a photo of a acoustic guitar	a acoustic guitar	una chitarra acustica	una foto di una chitarra acustica	403
n02687172	aircraft carrier, carrier, flattop, attack aircraft carrier	aircraft carrier	a photo of a aircraft carrier	a aircraft carrier	una portaerei	una foto di una portaerei	404
n02690373	airliner	airliner	a photo of a airliner	a airliner	un aereo di linea	una foto di un aereo di linea	405
n02692877	airship, dirigible	airship	a photo of a airship	a airship	un dirigibile	una foto di un dirigibile	406
n02699494	altar	altar	a photo of a altar	a altar	un altare	una foto di un altare	407
n02701002	ambulance	ambulance	a photo of a ambulance	a ambulance	un'ambulanza	una foto di un'ambulanza	408
n02704792	amphibian, amphibious vehicle	amphibian	a photo of a amphibian	a amphibian	un anfibio	una foto di un anfibio	409
n02708093	analog clock	analog clock	a photo of a analog clock	a analog clock	un orologio analogico	una foto di un orologio analogico	410
n02727426	apiary, bee house	apiary	a photo of a apiary	a apiary	un apiario	una foto di un apiario	411
n02730930	apron	apron	a photo of a apron	a apron	un grembiule	una foto di un grembiule	412
n02747177	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin	ashcan	a photo of a ashcan	a ashcan	un frassino	una foto di un frassino	413
n02749479	assault rifle, assault gun	assault rifle	a photo of a assault rifle	a assault rifle	un fucile d'assalto	una foto di un fucile d'assalto	414
n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack	backpack	a photo of a backpack	a backpack	uno zaino	una foto di uno zaino	415
n02776631	bakery, bakeshop, bakehouse	bakery	a photo of a bakery	a bakery	un panificio	una foto di un panificio	416
n02777292	balance beam, beam	balance beam	a photo of a balance beam	a balance beam	una trave di equilibrio	una foto di una trave di equilibrio	417
n02782093	balloon	balloon	a photo of a balloon	a balloon	un pallone	una foto di un pallone	418
n02783161	ballpoint, ballpoint pen, ballpen, Biro	ballpoint	a photo of a ballpoint	a ballpoint	una penna a sfera	una foto di una penna a sfera	419
n02786058	Band Aid	Band Aid	a photo of a Band Aid	a Band Aid	un cerotto	una foto di un cerotto	420
n02787622	banjo	banjo	a photo of a banjo	a banjo	un banjo	una foto di un banjo	421
n02788148	bannister, banister, balustrade, balusters, handrail	bannister	a photo of a bannister	a bannister	una balaustra	una foto di una balaustra	422
n02790996	barbell	barbell	a photo of a barbell	a barbell	un bilanciere	una foto di un bilanciere	423
n02791124	barber chair	barber chair	a photo of a barber chair	a barber chair	una sedia da barbiere	una foto di una sedia da barbiere	424
n02791270	barbershop	barbershop	a photo of a barbershop	a barbershop	un barbiere	una foto di un barbiere	425
n02793495	barn	barn	a photo of a barn	a barn	un fienile	una foto di un fienile	426
n02794156	barometer	barometer	a photo of a barometer	a barometer	un barometro	una foto di un barometro	427
n02795169	barrel, cask	barrel	a photo of a barrel	a barrel	un barile	una foto di un barile	428
n02797295	barrow, garden cart, lawn cart, wheelbarrow	barrow	a photo of a barrow	a barrow	un carretto	una foto di un carretto	429
n02799071	baseball	baseball	a photo of a baseball	a baseball	una palla da baseball	una foto di una palla da baseball	430
n02802426	basketball	basketball	a photo of a basketball	a basketball	una pallacanestro	una foto di una pallacanestro	431
n02804414	bassinet	bassinet	a photo of a bassinet	a bassinet	una culla	una foto di una culla	432
n02804610	bassoon	bassoon	a photo of a bassoon	a bassoon	un fagotto	una foto di un fagotto	433
n02807133	bathing cap, swimming cap	bathing cap	a photo of a bathing cap	a bathing cap	un berretto da bagno	una foto di un berretto da bagno	434
n02808304	bath towel	bath towel	a photo of a bath towel	a bath towel	un asciugamano da bagno	una foto di un asciugamano da bagno	435
n02808440	bathtub, bathing tub, bath, tub	bathtub	a photo of a bathtub	a bathtub	una vasca da bagno	una foto di una vasca da bagno	436
n02814533	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon	beach wagon	a photo of a beach wagon	a beach wagon	un carro da spiaggia	una foto di un carro da spiaggia	437
n02814860	beacon, lighthouse, beacon light, pharos	beacon	a photo of a beacon	a beacon	un faro	una foto di un faro	438
n02815834	beaker	beaker	a photo of a beaker	a beaker	un bicchiere	una foto di un bicchiere	439
n02817516	bearskin, busby, shako	bearskin	a photo of a bearskin	a bearskin	una pelle d'orso	una foto di una pelle d'orso	440
n02823428	beer bottle	beer bottle	a photo of a beer bottle	a beer bottle	una bottiglia di birra	una foto di una bottiglia di birra	441
n02823750	beer glass	beer glass	a photo of a beer glass	a beer glass	un bicchiere di birra	una foto di un bicchiere di birra	442
n02825657	bell cote, bell cot	bell cote	a photo of a bell cote	a bell cote	un campanile	una foto di un campanile	443
n02834397	bib	bib	a photo of a bib	a bib	un bavaglino	una foto di un bavaglino	444
n02835271	bicycle-built-for-two, tandem bicycle, tandem	bicycle-built-for-two	a photo of a bicycle-built-for-two	a bicycle-built-for-two	una bicicletta costruita per due	una foto di una bicicletta costruita per due	445
n02837789	bikini, two-piece	bikini	a photo of a bikini	a bikini	un bikini	una foto di un bikini	446
n02840245	binder, ring-binder	binder	a photo of a binder	a binder	un raccoglitore	una foto di un raccoglitore	447
n02841315	binoculars, field glasses, opera glasses	binoculars	a photo of a binoculars	a binoculars	un binocolo	una foto di un binocolo	448
n02843684	birdhouse	birdhouse	a photo of a birdhouse	a birdhouse	una casetta per uccelli	una foto di una casetta per uccelli	449
n02859443	boathouse	boathouse	a photo of a boathouse	a boathouse	una rimessa per barche	una foto di una rimessa per barche	450
n02860847	bobsled, bobsleigh, bob	bobsled	a photo of a bobsled	a bobsled	un bob	una foto di un bob	451
